timestamp,search_id,event,position,ranking_function
2018-08-01T00:01:31Z,p2tvgm3clu,serp,NA,NA
2018-08-01T00:04:09Z,p2tvgm3clu,click,14,A
2018-08-01T00:04:29Z,p2tvgm3clu,click,4,A
2018-08-01T00:06:10Z,p2tvgm3clu,click,1,A
2018-08-01T00:06:42Z,p2tvgm3clu,click,7,B
2018-08-01T00:07:28Z,p2tvgm3clu,click,19,B
2018-08-01T00:07:54Z,p2tvgm3clu,click,16,B
2018-08-01T00:08:50Z,p2tvgm3clu,click,18,B
2018-08-01T00:03:37Z,hyersickfz,serp,NA,NA
2018-08-01T00:05:59Z,hyersickfz,click,12,A
2018-08-01T00:08:07Z,hyersickfz,click,18,B
2018-08-01T00:08:29Z,hyersickfz,click,10,A
2018-08-01T00:00:16Z,rhyd2fj79n,serp,NA,NA
2018-08-01T00:05:37Z,rhyd2fj79n,click,18,B
2018-08-01T00:08:20Z,rhyd2fj79n,click,8,A
2018-08-01T00:08:31Z,rhyd2fj79n,click,2,A
2018-08-01T00:09:37Z,rhyd2fj79n,click,12,A
2018-08-01T00:00:42Z,ewt7p583ln,serp,NA,NA
2018-08-01T00:01:44Z,ewt7p583ln,click,14,B
2018-08-01T00:01:58Z,ewt7p583ln,click,2,A
2018-08-01T00:05:07Z,ewt7p583ln,click,8,B
2018-08-01T00:00:21Z,94fcley235,serp,NA,NA
2018-08-01T00:01:12Z,94fcley235,click,17,A
2018-08-01T00:02:49Z,94fcley235,click,2,A
2018-08-01T00:04:00Z,94fcley235,click,7,A
2018-08-01T00:04:58Z,94fcley235,click,19,A
2018-08-01T00:07:35Z,94fcley235,click,10,A
2018-08-01T00:07:44Z,94fcley235,click,14,A
2018-08-01T00:07:58Z,94fcley235,click,3,B
2018-08-01T00:09:47Z,94fcley235,click,6,B
2018-08-01T00:09:53Z,94fcley235,click,4,A
2018-08-01T00:00:42Z,htzrg20j1w,serp,NA,NA
2018-08-01T00:01:38Z,htzrg20j1w,click,7,A
2018-08-01T00:02:14Z,heyjsr2fk7,serp,NA,NA
2018-08-01T00:05:30Z,heyjsr2fk7,click,14,A
2018-08-01T00:05:49Z,heyjsr2fk7,click,5,A
2018-08-01T00:01:32Z,8uqfderakv,serp,NA,NA
2018-08-01T00:02:53Z,8uqfderakv,click,19,A
2018-08-01T00:04:40Z,8uqfderakv,click,3,A
2018-08-01T00:07:33Z,8uqfderakv,click,11,A
2018-08-01T00:09:35Z,8uqfderakv,click,15,A
2018-08-01T00:00:11Z,gfdli51xwv,serp,NA,NA
2018-08-01T00:07:20Z,gfdli51xwv,click,13,A
2018-08-01T00:07:41Z,gfdli51xwv,click,9,B
2018-08-01T00:09:09Z,gfdli51xwv,click,8,A
2018-08-01T00:09:56Z,gfdli51xwv,click,12,A
2018-08-01T00:01:33Z,r7sxzn3j4w,serp,NA,NA
2018-08-01T00:01:34Z,r7sxzn3j4w,click,18,A
2018-08-01T00:02:40Z,r7sxzn3j4w,click,7,A
2018-08-01T00:02:59Z,r7sxzn3j4w,click,1,A
2018-08-01T00:07:14Z,r7sxzn3j4w,click,9,B
2018-08-01T00:03:16Z,019ymtkjne,serp,NA,NA
2018-08-01T00:07:31Z,019ymtkjne,click,14,A
2018-08-01T00:01:58Z,c5somjl3u8,serp,NA,NA
2018-08-01T00:04:15Z,c5somjl3u8,click,7,A
2018-08-01T00:06:33Z,c5somjl3u8,click,18,A
2018-08-01T00:09:07Z,c5somjl3u8,click,16,A
2018-08-01T00:00:03Z,tceynf67i0,serp,NA,NA
2018-08-01T00:06:04Z,tceynf67i0,click,5,B
2018-08-01T00:06:55Z,tceynf67i0,click,16,B
2018-08-01T00:07:42Z,tceynf67i0,click,4,A
2018-08-01T00:01:16Z,u2ihaw9jb3,serp,NA,NA
2018-08-01T00:03:11Z,u2ihaw9jb3,click,12,A
2018-08-01T00:06:41Z,u2ihaw9jb3,click,5,B
2018-08-01T00:07:33Z,u2ihaw9jb3,click,1,A
2018-08-01T00:00:19Z,2reqy4wasx,serp,NA,NA
2018-08-01T00:01:54Z,2reqy4wasx,click,16,A
2018-08-01T00:02:35Z,2reqy4wasx,click,7,A
2018-08-01T00:04:11Z,2reqy4wasx,click,15,A
2018-08-01T00:05:03Z,2reqy4wasx,click,12,A
2018-08-01T00:05:07Z,2reqy4wasx,click,17,A
2018-08-01T00:05:54Z,2reqy4wasx,click,20,B
2018-08-01T00:06:04Z,2reqy4wasx,click,14,A
2018-08-01T00:07:44Z,2reqy4wasx,click,2,A
2018-08-01T00:09:51Z,2reqy4wasx,click,10,A
2018-08-01T00:00:24Z,rndfmsat40,serp,NA,NA
2018-08-01T00:01:15Z,rndfmsat40,click,1,A
2018-08-01T00:01:57Z,rndfmsat40,click,2,A
2018-08-01T00:02:41Z,rndfmsat40,click,10,B
2018-08-01T00:03:48Z,rndfmsat40,click,15,A
2018-08-01T00:03:56Z,rndfmsat40,click,9,A
2018-08-01T00:07:19Z,rndfmsat40,click,5,A
2018-08-01T00:08:21Z,rndfmsat40,click,17,A
2018-08-01T00:08:45Z,rndfmsat40,click,19,A
2018-08-01T00:00:45Z,7wjsxn0m6b,serp,NA,NA
2018-08-01T00:01:00Z,7wjsxn0m6b,click,15,A
2018-08-01T00:03:19Z,7wjsxn0m6b,click,3,B
2018-08-01T00:04:33Z,7wjsxn0m6b,click,10,B
2018-08-01T00:06:19Z,7wjsxn0m6b,click,2,A
2018-08-01T00:07:03Z,7wjsxn0m6b,click,8,B
2018-08-01T00:09:12Z,7wjsxn0m6b,click,18,B
2018-08-01T00:09:57Z,7wjsxn0m6b,click,1,A
2018-08-01T00:00:16Z,bw9smrcyh1,serp,NA,NA
2018-08-01T00:01:35Z,bw9smrcyh1,click,4,B
2018-08-01T00:03:53Z,bw9smrcyh1,click,13,A
2018-08-01T00:04:03Z,bw9smrcyh1,click,12,A
2018-08-01T00:04:59Z,bw9smrcyh1,click,5,B
2018-08-01T00:05:48Z,bw9smrcyh1,click,6,A
2018-08-01T00:06:18Z,bw9smrcyh1,click,2,A
2018-08-01T00:08:06Z,bw9smrcyh1,click,10,B
2018-08-01T00:09:20Z,bw9smrcyh1,click,17,A
2018-08-01T00:09:59Z,bw9smrcyh1,click,15,A
2018-08-01T00:02:58Z,oknel6jpiz,serp,NA,NA
2018-08-01T00:05:53Z,oknel6jpiz,click,20,B
2018-08-01T00:06:12Z,knc4p8f1yo,serp,NA,NA
2018-08-01T00:06:39Z,knc4p8f1yo,click,3,B
2018-08-01T00:08:19Z,knc4p8f1yo,click,13,A
2018-08-01T00:00:37Z,cv5eqxsitw,serp,NA,NA
2018-08-01T00:01:59Z,cv5eqxsitw,click,4,A
2018-08-01T00:02:16Z,cv5eqxsitw,click,13,A
2018-08-01T00:03:49Z,cv5eqxsitw,click,18,A
2018-08-01T00:04:35Z,cv5eqxsitw,click,17,A
2018-08-01T00:07:00Z,cv5eqxsitw,click,1,A
2018-08-01T00:07:33Z,cv5eqxsitw,click,11,A
2018-08-01T00:00:00Z,4bftnlu35c,serp,NA,NA
2018-08-01T00:02:12Z,4bftnlu35c,click,10,A
2018-08-01T00:02:13Z,4bftnlu35c,click,9,A
2018-08-01T00:02:33Z,4bftnlu35c,click,4,A
2018-08-01T00:05:11Z,4bftnlu35c,click,15,B
2018-08-01T00:05:16Z,4bftnlu35c,click,1,A
2018-08-01T00:05:53Z,4bftnlu35c,click,12,B
2018-08-01T00:07:29Z,4bftnlu35c,click,5,B
2018-08-01T00:08:44Z,4bftnlu35c,click,13,A
2018-08-01T00:00:09Z,p0x2sdcuym,serp,NA,NA
2018-08-01T00:01:29Z,p0x2sdcuym,click,13,B
2018-08-01T00:01:38Z,p0x2sdcuym,click,15,A
2018-08-01T00:02:48Z,p0x2sdcuym,click,5,A
2018-08-01T00:04:06Z,p0x2sdcuym,click,7,A
2018-08-01T00:04:18Z,p0x2sdcuym,click,1,A
2018-08-01T00:06:56Z,p0x2sdcuym,click,8,A
2018-08-01T00:07:44Z,p0x2sdcuym,click,11,B
2018-08-01T00:09:14Z,p0x2sdcuym,click,3,A
2018-08-01T00:00:14Z,7jnigu2rym,serp,NA,NA
2018-08-01T00:00:34Z,7jnigu2rym,click,8,A
2018-08-01T00:04:42Z,7jnigu2rym,click,20,A
2018-08-01T00:05:09Z,7jnigu2rym,click,12,A
2018-08-01T00:06:06Z,7jnigu2rym,click,1,A
2018-08-01T00:07:14Z,7jnigu2rym,click,6,A
2018-08-01T00:07:41Z,7jnigu2rym,click,9,A
2018-08-01T00:08:41Z,7jnigu2rym,click,11,A
2018-08-01T00:01:45Z,y91fsbk7g2,serp,NA,NA
2018-08-01T00:05:39Z,y91fsbk7g2,click,9,A
2018-08-01T00:00:25Z,94kxv0sijq,serp,NA,NA
2018-08-01T00:00:45Z,94kxv0sijq,click,8,B
2018-08-01T00:01:47Z,94kxv0sijq,click,4,A
2018-08-01T00:01:51Z,94kxv0sijq,click,16,A
2018-08-01T00:02:57Z,94kxv0sijq,click,19,A
2018-08-01T00:03:10Z,94kxv0sijq,click,10,A
2018-08-01T00:04:05Z,94kxv0sijq,click,20,B
2018-08-01T00:07:35Z,94kxv0sijq,click,3,A
2018-08-01T00:07:54Z,94kxv0sijq,click,2,A
2018-08-01T00:08:55Z,94kxv0sijq,click,12,B
2018-08-01T00:02:06Z,ci07merabz,serp,NA,NA
2018-08-01T00:02:39Z,ci07merabz,click,18,A
2018-08-01T00:03:39Z,ci07merabz,click,20,A
2018-08-01T00:04:33Z,ci07merabz,click,8,A
2018-08-01T00:04:48Z,ci07merabz,click,10,B
2018-08-01T00:05:00Z,ci07merabz,click,13,A
2018-08-01T00:05:11Z,ci07merabz,click,19,A
2018-08-01T00:06:14Z,ci07merabz,click,5,B
2018-08-01T00:02:06Z,07pg1rf52v,serp,NA,NA
2018-08-01T00:02:39Z,07pg1rf52v,click,16,A
2018-08-01T00:03:54Z,07pg1rf52v,click,9,A
2018-08-01T00:06:27Z,07pg1rf52v,click,8,A
2018-08-01T00:07:31Z,07pg1rf52v,click,12,A
2018-08-01T00:08:40Z,07pg1rf52v,click,15,A
2018-08-01T00:01:42Z,bgmjoizyxc,serp,NA,NA
2018-08-01T00:01:48Z,bgmjoizyxc,click,18,A
