timestamp,search_id,event,position,ranking_function
2018-08-01T00:01:06Z,ufxl7jprs8,serp,NA,NA
2018-08-01T00:00:37Z,zbuk6t3n4m,serp,NA,NA
2018-08-01T00:03:16Z,zbuk6t3n4m,click,8,B
2018-08-01T00:03:37Z,zbuk6t3n4m,click,13,B
2018-08-01T00:05:26Z,zbuk6t3n4m,click,16,B
2018-08-01T00:05:42Z,zbuk6t3n4m,click,18,B
2018-08-01T00:06:09Z,zbuk6t3n4m,click,7,B
2018-08-01T00:06:21Z,zbuk6t3n4m,click,10,B
2018-08-01T00:07:19Z,zbuk6t3n4m,click,19,B
2018-08-01T00:08:25Z,zbuk6t3n4m,click,6,B
2018-08-01T00:01:20Z,oqa9j78mxr,serp,NA,NA
2018-08-01T00:03:14Z,oqa9j78mxr,click,18,A
2018-08-01T00:04:30Z,oqa9j78mxr,click,8,B
2018-08-01T00:07:22Z,oqa9j78mxr,click,3,B
2018-08-01T00:08:23Z,oqa9j78mxr,click,9,B
2018-08-01T00:09:21Z,oqa9j78mxr,click,2,B
2018-08-01T00:02:11Z,k2heogwv97,serp,NA,NA
2018-08-01T00:03:26Z,k2heogwv97,click,12,A
2018-08-01T00:04:20Z,k2heogwv97,click,3,B
2018-08-01T00:05:05Z,k2heogwv97,click,15,A
2018-08-01T00:05:32Z,k2heogwv97,click,4,B
2018-08-01T00:07:48Z,k2heogwv97,click,18,A
2018-08-01T00:07:51Z,k2heogwv97,click,6,B
2018-08-01T00:08:06Z,k2heogwv97,click,13,A
2018-08-01T00:09:02Z,k2heogwv97,click,19,B
2018-08-01T00:06:49Z,j8y43zt9gn,serp,NA,NA
2018-08-01T00:07:36Z,j8y43zt9gn,click,6,B
2018-08-01T00:08:09Z,j8y43zt9gn,click,9,A
2018-08-01T00:00:03Z,fi6bcmt7qk,serp,NA,NA
2018-08-01T00:03:28Z,fi6bcmt7qk,click,11,B
2018-08-01T00:05:34Z,fi6bcmt7qk,click,10,B
2018-08-01T00:05:57Z,fi6bcmt7qk,click,14,B
2018-08-01T00:06:29Z,fi6bcmt7qk,click,7,A
2018-08-01T00:07:17Z,fi6bcmt7qk,click,15,B
2018-08-01T00:06:00Z,b073eipjfk,serp,NA,NA
2018-08-01T00:09:18Z,b073eipjfk,click,12,B
2018-08-01T00:02:01Z,y4goh6vicw,serp,NA,NA
2018-08-01T00:02:39Z,y4goh6vicw,click,11,B
2018-08-01T00:03:10Z,y4goh6vicw,click,8,B
2018-08-01T00:05:25Z,y4goh6vicw,click,14,B
2018-08-01T00:05:45Z,y4goh6vicw,click,12,A
2018-08-01T00:09:22Z,y4goh6vicw,click,1,A
2018-08-01T00:09:52Z,y4goh6vicw,click,10,B
2018-08-01T00:02:04Z,laopnw4tc0,serp,NA,NA
2018-08-01T00:03:37Z,laopnw4tc0,click,3,A
2018-08-01T00:04:40Z,laopnw4tc0,click,1,B
2018-08-01T00:06:51Z,laopnw4tc0,click,10,B
2018-08-01T00:06:52Z,laopnw4tc0,click,17,B
2018-08-01T00:07:40Z,laopnw4tc0,click,8,B
2018-08-01T00:07:47Z,laopnw4tc0,click,5,B
2018-08-01T00:08:40Z,laopnw4tc0,click,15,A
2018-08-01T00:08:42Z,laopnw4tc0,click,6,B
2018-08-01T00:08:44Z,luka20rswd,serp,NA,NA
2018-08-01T00:09:43Z,luka20rswd,click,13,B
2018-08-01T00:00:12Z,2yghj1vkmi,serp,NA,NA
2018-08-01T00:00:24Z,2yghj1vkmi,click,8,B
2018-08-01T00:03:22Z,2yghj1vkmi,click,9,B
2018-08-01T00:03:28Z,2yghj1vkmi,click,20,B
2018-08-01T00:04:31Z,2yghj1vkmi,click,15,B
2018-08-01T00:05:01Z,2yghj1vkmi,click,7,B
2018-08-01T00:06:48Z,2yghj1vkmi,click,3,B
2018-08-01T00:07:27Z,2yghj1vkmi,click,19,B
2018-08-01T00:09:38Z,2yghj1vkmi,click,16,A
2018-08-01T00:02:12Z,5q8wvedi1c,serp,NA,NA
2018-08-01T00:03:43Z,5q8wvedi1c,click,8,A
2018-08-01T00:04:23Z,5q8wvedi1c,click,12,B
2018-08-01T00:04:33Z,5q8wvedi1c,click,17,B
2018-08-01T00:07:55Z,5q8wvedi1c,click,9,B
2018-08-01T00:08:43Z,5q8wvedi1c,click,16,B
2018-08-01T00:09:38Z,5q8wvedi1c,click,13,B
2018-08-01T00:03:33Z,wly85v4rxd,serp,NA,NA
2018-08-01T00:03:05Z,zutqgedjv5,serp,NA,NA
2018-08-01T00:04:33Z,zutqgedjv5,click,9,B
2018-08-01T00:07:17Z,zutqgedjv5,click,6,B
2018-08-01T00:02:38Z,uy8x5wgncv,serp,NA,NA
2018-08-01T00:04:46Z,uy8x5wgncv,click,16,A
2018-08-01T00:05:40Z,uy8x5wgncv,click,18,B
2018-08-01T00:05:48Z,uy8x5wgncv,click,14,B
2018-08-01T00:06:25Z,uy8x5wgncv,click,3,B
2018-08-01T00:07:18Z,uy8x5wgncv,click,20,A
2018-08-01T00:07:51Z,uy8x5wgncv,click,9,B
2018-08-01T00:09:20Z,uy8x5wgncv,click,12,B
2018-08-01T00:09:24Z,uy8x5wgncv,click,8,B
2018-08-01T00:09:48Z,uy8x5wgncv,click,11,B
2018-08-01T00:02:09Z,hm4b18wvng,serp,NA,NA
2018-08-01T00:02:45Z,hm4b18wvng,click,6,B
2018-08-01T00:03:08Z,hm4b18wvng,click,17,B
2018-08-01T00:04:07Z,hm4b18wvng,click,14,B
2018-08-01T00:05:06Z,hm4b18wvng,click,15,B
2018-08-01T00:08:17Z,hm4b18wvng,click,8,B
2018-08-01T00:08:51Z,hm4b18wvng,click,16,B
2018-08-01T00:09:06Z,hm4b18wvng,click,12,B
2018-08-01T00:00:00Z,25s6x34wzq,serp,NA,NA
2018-08-01T00:00:08Z,25s6x34wzq,click,15,B
2018-08-01T00:03:44Z,25s6x34wzq,click,6,B
2018-08-01T00:05:47Z,25s6x34wzq,click,1,B
2018-08-01T00:06:11Z,25s6x34wzq,click,11,B
2018-08-01T00:06:25Z,25s6x34wzq,click,10,B
2018-08-01T00:06:27Z,25s6x34wzq,click,19,B
2018-08-01T00:07:15Z,25s6x34wzq,click,7,B
2018-08-01T00:07:57Z,25s6x34wzq,click,17,B
2018-08-01T00:09:56Z,25s6x34wzq,click,4,B
2018-08-01T00:03:18Z,2p4dou5wnm,serp,NA,NA
2018-08-01T00:05:34Z,2p4dou5wnm,click,16,A
2018-08-01T00:08:15Z,2p4dou5wnm,click,7,B
2018-08-01T00:08:18Z,2p4dou5wnm,click,3,B
2018-08-01T00:01:00Z,pcw4meabyj,serp,NA,NA
2018-08-01T00:04:17Z,pcw4meabyj,click,14,B
2018-08-01T00:05:34Z,pcw4meabyj,click,8,A
2018-08-01T00:08:46Z,pcw4meabyj,click,7,B
2018-08-01T00:09:25Z,pcw4meabyj,click,11,A
2018-08-01T00:01:57Z,yhrxa5vpgk,serp,NA,NA
2018-08-01T00:02:24Z,yhrxa5vpgk,click,12,A
2018-08-01T00:03:08Z,yhrxa5vpgk,click,3,B
2018-08-01T00:03:13Z,yhrxa5vpgk,click,17,B
2018-08-01T00:05:42Z,yhrxa5vpgk,click,11,B
2018-08-01T00:06:12Z,yhrxa5vpgk,click,2,B
2018-08-01T00:06:53Z,yhrxa5vpgk,click,7,B
2018-08-01T00:07:22Z,yhrxa5vpgk,click,13,B
2018-08-01T00:08:28Z,yhrxa5vpgk,click,4,A
2018-08-01T00:01:38Z,rgejv5yxa0,serp,NA,NA
2018-08-01T00:01:57Z,rgejv5yxa0,click,18,B
2018-08-01T00:06:05Z,rgejv5yxa0,click,12,B
2018-08-01T00:06:08Z,rgejv5yxa0,click,20,B
2018-08-01T00:07:02Z,rgejv5yxa0,click,16,B
2018-08-01T00:00:09Z,814o3ndkf7,serp,NA,NA
2018-08-01T00:01:00Z,814o3ndkf7,click,5,A
2018-08-01T00:01:51Z,814o3ndkf7,click,7,B
2018-08-01T00:03:47Z,814o3ndkf7,click,18,A
2018-08-01T00:04:53Z,814o3ndkf7,click,10,B
2018-08-01T00:04:55Z,814o3ndkf7,click,1,B
2018-08-01T00:05:38Z,814o3ndkf7,click,16,B
2018-08-01T00:05:46Z,814o3ndkf7,click,17,B
2018-08-01T00:06:36Z,814o3ndkf7,click,19,B
2018-08-01T00:09:26Z,814o3ndkf7,click,9,B
2018-08-01T00:01:47Z,kje6f4mnad,serp,NA,NA
2018-08-01T00:02:58Z,kje6f4mnad,click,20,B
2018-08-01T00:04:38Z,kje6f4mnad,click,18,B
2018-08-01T00:04:52Z,kje6f4mnad,click,8,B
2018-08-01T00:07:04Z,kje6f4mnad,click,15,B
2018-08-01T00:07:52Z,kje6f4mnad,click,5,B
2018-08-01T00:08:26Z,kje6f4mnad,click,2,B
2018-08-01T00:09:10Z,kje6f4mnad,click,13,B
2018-08-01T00:09:18Z,kje6f4mnad,click,7,A
2018-08-01T00:09:29Z,kje6f4mnad,click,19,B
2018-08-01T00:07:00Z,9705mbis1q,serp,NA,NA
2018-08-01T00:02:57Z,6ekrfawmd0,serp,NA,NA
2018-08-01T00:05:31Z,6ekrfawmd0,click,9,B
2018-08-01T00:05:58Z,6ekrfawmd0,click,17,B
2018-08-01T00:07:01Z,6ekrfawmd0,click,10,B
2018-08-01T00:07:09Z,6ekrfawmd0,click,18,A
2018-08-01T00:08:22Z,6ekrfawmd0,click,11,B
2018-08-01T00:00:00Z,hgub5zdxs7,serp,NA,NA
2018-08-01T00:00:21Z,hgub5zdxs7,click,18,B
2018-08-01T00:03:51Z,hgub5zdxs7,click,12,B
2018-08-01T00:04:41Z,hgub5zdxs7,click,11,B
2018-08-01T00:07:03Z,hgub5zdxs7,click,13,B
2018-08-01T00:09:32Z,hgub5zdxs7,click,9,B
2018-08-01T00:08:33Z,wvo4u7gydb,serp,NA,NA
2018-08-01T00:09:36Z,wvo4u7gydb,click,19,B
2018-08-01T00:01:08Z,tb5n9rihzm,serp,NA,NA
2018-08-01T00:01:25Z,tb5n9rihzm,click,1,A
2018-08-01T00:01:27Z,tb5n9rihzm,click,17,B
2018-08-01T00:03:09Z,tb5n9rihzm,click,14,B
2018-08-01T00:04:40Z,tb5n9rihzm,click,18,B
2018-08-01T00:05:29Z,tb5n9rihzm,click,16,B
2018-08-01T00:06:24Z,tb5n9rihzm,click,4,A
2018-08-01T00:07:29Z,tb5n9rihzm,click,3,B
2018-08-01T00:08:11Z,tb5n9rihzm,click,8,B
2018-08-01T00:08:59Z,tb5n9rihzm,click,13,A
2018-08-01T00:01:13Z,7xntj53z2p,serp,NA,NA
2018-08-01T00:04:02Z,7xntj53z2p,click,20,B
2018-08-01T00:04:28Z,7xntj53z2p,click,15,B
2018-08-01T00:05:26Z,7xntj53z2p,click,8,A
2018-08-01T00:05:47Z,7xntj53z2p,click,7,A
2018-08-01T00:06:27Z,7xntj53z2p,click,10,B
2018-08-01T00:04:55Z,6ckf9tn0p7,serp,NA,NA
2018-08-01T00:05:09Z,6ckf9tn0p7,click,6,B
