timestamp,search_id,event,position,ranking_function
2018-08-01T00:02:07Z,da7wknr0s8,serp,NA,NA
2018-08-01T00:03:48Z,da7wknr0s8,click,5,B
2018-08-01T00:03:50Z,da7wknr0s8,click,9,A
2018-08-01T00:04:58Z,da7wknr0s8,click,14,A
2018-08-01T00:07:10Z,da7wknr0s8,click,20,A
2018-08-01T00:07:41Z,da7wknr0s8,click,17,B
2018-08-01T00:07:46Z,da7wknr0s8,click,2,A
2018-08-01T00:09:20Z,da7wknr0s8,click,10,B
2018-08-01T00:09:55Z,da7wknr0s8,click,19,A
2018-08-01T00:04:04Z,1twfyhl57x,serp,NA,NA
2018-08-01T00:05:11Z,1twfyhl57x,click,10,B
2018-08-01T00:06:37Z,1twfyhl57x,click,6,A
2018-08-01T00:09:07Z,1twfyhl57x,click,14,B
2018-08-01T00:01:13Z,nafw4l7hgk,serp,NA,NA
2018-08-01T00:01:25Z,nafw4l7hgk,click,14,A
2018-08-01T00:02:01Z,nafw4l7hgk,click,7,A
2018-08-01T00:02:27Z,nafw4l7hgk,click,13,B
2018-08-01T00:07:06Z,nafw4l7hgk,click,12,B
2018-08-01T00:07:34Z,nafw4l7hgk,click,16,B
2018-08-01T00:05:06Z,iwszpk3jg7,serp,NA,NA
2018-08-01T00:06:00Z,jazo72x9pu,serp,NA,NA
2018-08-01T00:06:49Z,jazo72x9pu,click,7,B
2018-08-01T00:00:45Z,1v6szckan8,serp,NA,NA
2018-08-01T00:02:07Z,1v6szckan8,click,14,A
2018-08-01T00:02:46Z,1v6szckan8,click,17,B
2018-08-01T00:02:50Z,1v6szckan8,click,3,A
2018-08-01T00:08:57Z,1v6szckan8,click,18,A
2018-08-01T00:05:54Z,0gtxsup5db,serp,NA,NA
2018-08-01T00:09:28Z,mz7bsq6kc1,serp,NA,NA
2018-08-01T00:03:28Z,kpi1zxjoce,serp,NA,NA
2018-08-01T00:04:10Z,kpi1zxjoce,click,7,B
2018-08-01T00:08:32Z,kpi1zxjoce,click,5,A
2018-08-01T00:01:05Z,poba5cxifq,serp,NA,NA
2018-08-01T00:02:28Z,poba5cxifq,click,8,A
2018-08-01T00:04:42Z,poba5cxifq,click,4,B
2018-08-01T00:04:50Z,poba5cxifq,click,17,B
2018-08-01T00:06:02Z,poba5cxifq,click,9,A
2018-08-01T00:09:19Z,poba5cxifq,click,13,A
2018-08-01T00:00:59Z,xvp362bhnd,serp,NA,NA
2018-08-01T00:01:11Z,xvp362bhnd,click,10,B
2018-08-01T00:01:18Z,xvp362bhnd,click,4,B
2018-08-01T00:01:19Z,xvp362bhnd,click,9,A
2018-08-01T00:02:12Z,xvp362bhnd,click,18,A
2018-08-01T00:02:15Z,xvp362bhnd,click,15,B
2018-08-01T00:03:16Z,xvp362bhnd,click,17,B
2018-08-01T00:05:04Z,xvp362bhnd,click,6,B
